Country,University,City/Region,Course Archetype,Notes,Quality_0_3,Scale_0_3,Employability_0_3,GeoFit_0_2
Brazil,ITA – Instituto Tecnológico de Aeronáutica,São José dos Campos,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,1
Brazil,ITA – Instituto Tecnológico de Aeronáutica,São José dos Campos,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,1
Brazil,ITA – Instituto Tecnológico de Aeronáutica,São José dos Campos,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,1
Brazil,ITA – Instituto Tecnológico de Aeronáutica,São José dos Campos,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,3,2,1
Brazil,ITA – Instituto Tecnológico de Aeronáutica,São José dos Campos,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,2,1
Brazil,ITA – Instituto Tecnológico de Aeronáutica,São José dos Campos,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,1
Brazil,Insper – CS/DS,São Paulo,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,2
Brazil,Insper – CS/DS,São Paulo,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,Insper – CS/DS,São Paulo,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,Insper – CS/DS,São Paulo,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,2
Brazil,Insper – CS/DS,São Paulo,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,3,2,2
Brazil,Insper – CS/DS,São Paulo,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,2,2
Brazil,Insper – CS/DS,São Paulo,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,2
Brazil,Mackenzie – CC,São Paulo,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,2
Brazil,Mackenzie – CC,São Paulo,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,2
Brazil,Mackenzie – CC,São Paulo,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,2
Brazil,Mackenzie – CC,São Paulo,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,2
Brazil,Mackenzie – CC,São Paulo,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,2,2,2
Brazil,Mackenzie – CC,São Paulo,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,2,2
Brazil,Mackenzie – CC,São Paulo,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,2
Brazil,Mackenzie – CC,São Paulo,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,2
Brazil,PUC-Rio – DI,Rio de Janeiro,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,2
Brazil,PUC-Rio – DI,Rio de Janeiro,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,PUC-Rio – DI,Rio de Janeiro,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,PUC-Rio – DI,Rio de Janeiro,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,2
Brazil,PUC-Rio – DI,Rio de Janeiro,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,3,2,2
